A,B,same_cat,period_ticks,concentration,amplitude,ratio_mean,r2_full,r2_d2,r2_d3,r2_d4,r2_min_day
UV_VISOR_ORANGE,UV_VISOR_YELLOW,True,10000.0,0.7208551993580007,0.04590780340200834,0.9553683267052555,0.20531687688934164,0.8621422846754643,0.8422923295320227,0.8346637592896978,0.8346637592896978
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_ORANGE,False,10000.0,0.6592731594889868,0.050705191883059886,0.9836401019503939,0.4172483250776312,0.7313247270647595,0.8551774271906127,0.733282481034033,0.7313247270647595
SLEEP_POD_COTTON,UV_VISOR_RED,False,10000.0,0.20541448148411984,0.011173638893159863,1.0423800281402176,0.01800944250270775,0.7187824391042814,0.735045164590383,0.779090909733835,0.7187824391042814
SLEEP_POD_NYLON,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.4778176899813337,0.01944129541079174,0.9840324701640646,0.03926068112726522,0.7259035488965178,0.7026068482354637,0.746349924941206,0.7026068482354637
PANEL_2X4,ROBOT_IRONING,False,10000.0,0.5204283749146706,0.04968837834227673,1.3099095343129157,0.3054951487156722,0.7484796247344363,0.699660573921943,0.8514213823543848,0.699660573921943
PANEL_2X2,UV_VISOR_YELLOW,False,10000.0,0.6594270448523701,0.021929763534300303,0.8761805359455659,0.07119257480545949,0.7453693667915131,0.7002598854576285,0.6893898626015771,0.6893898626015771
ROBOT_IRONING,ROBOT_VACUUMING,True,10000.0,0.26828388025094124,0.023236961850447404,0.9485729378572032,0.1262064509186116,0.7704606523160176,0.710238727283615,0.684360043118036,0.684360043118036
PANEL_1X4,UV_VISOR_YELLOW,False,10000.0,0.28621629580723695,0.012375353288885267,0.860158505554605,0.01795812939981567,0.7796778445127588,0.710794727889273,0.6794483910642204,0.6794483910642204
PANEL_1X2,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.5278121161940663,0.01862781396384101,0.9116748975097168,0.02487656976185537,0.6607416304953276,0.6853818390400703,0.6825259591066531,0.6607416304953276
OXYGEN_SHAKE_MORNING_BREATH,SLEEP_POD_LAMB_WOOL,False,10000.0,0.4712497050176877,0.019760984202358476,0.9363148742234833,0.05821962731411667,0.6886226489909858,0.659655888318581,0.677066102349013,0.659655888318581
MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,True,10000.0,0.427107984568263,0.03308122001585068,1.0621613782193262,0.2103927812163684,0.6430049080805034,0.7982258784862283,0.8006292498914984,0.6430049080805034
MICROCHIP_RECTANGLE,OXYGEN_SHAKE_GARLIC,False,10000.0,0.2035418015172559,0.024346888086967902,0.7400497728716031,0.13030120690886648,0.6721866206884178,0.6642091334736896,0.6417980439385613,0.6417980439385613
OXYGEN_SHAKE_MINT,UV_VISOR_YELLOW,False,10000.0,0.47140751681645116,0.016725272516207663,0.9009675592477784,0.0315119679486453,0.8259424444121162,0.6397782305319003,0.839776770652489,0.6397782305319003
PANEL_1X4,SLEEP_POD_COTTON,False,10000.0,0.2896426842883053,0.03199817282307312,0.8241269531272529,0.10301358748693634,0.6382166074481249,0.7925122613081923,0.7471118357011479,0.6382166074481249
OXYGEN_SHAKE_MINT,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.4793142344726572,0.032490977243749025,1.0035674665936858,0.18030561725695993,0.6768238645566942,0.6381536611474471,0.856597375717012,0.6381536611474471
SLEEP_POD_POLYESTER,UV_VISOR_ORANGE,False,10000.0,0.6324749412061733,0.04075337368046377,1.1353796210104221,0.34203194470465614,0.6372217255481518,0.7376629831845534,0.670918601549449,0.6372217255481518
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_4X4,False,10000.0,0.5300610948850704,0.032289354725033685,1.058329465239167,0.19161632529877126,0.636321186674508,0.6849213492988486,0.6586549136778138,0.636321186674508
ROBOT_IRONING,SLEEP_POD_LAMB_WOOL,False,10000.0,0.42487923296112723,0.02091322808945911,0.8152185199605215,0.07080557624159922,0.6969575009198898,0.6349396308578161,0.7664168431572516,0.6349396308578161
ROBOT_IRONING,SLEEP_POD_NYLON,False,10000.0,0.5018647199746573,0.020717605725949682,0.9081119013325181,0.05015085206374603,0.7558093218931933,0.6329740758364948,0.873697931665649,0.6329740758364948
SLEEP_POD_NYLON,UV_VISOR_YELLOW,False,10000.0,0.4811418743978901,0.010374810441721552,0.8849539989603822,0.0065831085194066885,0.6925632851845069,0.6321325605612678,0.7211809302894886,0.6321325605612678
TRANSLATOR_ECLIPSE_CHARCOAL,UV_VISOR_ORANGE,False,10000.0,0.5089019325560394,0.03995561633814817,0.9432655147090414,0.4174170007998914,0.7830679203905051,0.6300549461185512,0.7385978621586711,0.6300549461185512
GALAXY_SOUNDS_DARK_MATTER,OXYGEN_SHAKE_MINT,False,10000.0,0.2523828406270184,0.017896355604929068,1.0421881147358742,0.04803324752279314,0.6196862654858684,0.6742301869209717,0.8070819402387024,0.6196862654858684
SLEEP_POD_COTTON,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.21016997311932598,0.031568717258693965,1.1756558993555188,0.12407898077006319,0.6863353053273755,0.7337570556483748,0.6193323385970168,0.6193323385970168
GALAXY_SOUNDS_SOLAR_FLAMES,TRANSLATOR_VOID_BLUE,False,7500.0,0.40428844956837956,0.04595456866010807,1.0243282874630044,0.48147852083974596,0.6162384501344499,0.6737583486974708,0.6673609110660004,0.6162384501344499
MICROCHIP_RECTANGLE,OXYGEN_SHAKE_CHOCOLATE,False,10000.0,0.3838179833056607,0.027451497065446397,0.9170260809022069,0.25298483459231047,0.6080894473598719,0.7562511755907206,0.8041793906116669,0.6080894473598719
GALAXY_SOUNDS_SOLAR_WINDS,UV_VISOR_YELLOW,False,10000.0,0.4501938035892589,0.020947875682380844,0.9573343774160218,0.03250257606460638,0.8035343991958608,0.6292100071434688,0.6071274408624294,0.6071274408624294
GALAXY_SOUNDS_SOLAR_WINDS,ROBOT_IRONING,False,10000.0,0.42851215424386124,0.01758066607338798,1.2131936403831398,0.023052341357398087,0.8378406219316896,0.6435801498100937,0.6062252396046188,0.6062252396046188
ROBOT_IRONING,ROBOT_LAUNDRY,True,10000.0,0.2758858330555151,0.032899825536733554,0.8856781093158795,0.25189969308090554,0.8558350963585504,0.6043561579323025,0.6852418430628591,0.6043561579323025
PANEL_2X2,ROBOT_IRONING,False,10000.0,0.5030940929452676,0.04328098300665164,1.1045381223630306,0.24120980933067182,0.6038788300116216,0.7373609754776212,0.7058944887497458,0.6038788300116216
OXYGEN_SHAKE_CHOCOLATE,TRANSLATOR_ASTRO_BLACK,False,10000.0,0.28391437781871387,0.024766186309215413,1.0215045634278253,0.1378748674092265,0.6966330887084604,0.6010547782116047,0.7286365330187372,0.6010547782116047
MICROCHIP_RECTANGLE,UV_VISOR_YELLOW,False,10000.0,0.25857991807497044,0.015400311710370419,0.801626405966253,0.015962664214990152,0.7965087837001074,0.604629290102093,0.6009210788017265,0.6009210788017265
OXYGEN_SHAKE_MORNING_BREATH,UV_VISOR_YELLOW,False,10000.0,0.45103406676834273,0.015699110486910837,0.9161649842292017,0.025054691534237894,0.6733841758018153,0.6002533753967465,0.6497319565883499,0.6002533753967465
SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.39011613413033586,0.0293071932102394,1.0928368036554772,0.07869452088232376,0.872528270652114,0.5989239425137747,0.6424545151934158,0.5989239425137747
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_NYLON,False,10000.0,0.373608371587725,0.016812962922784218,1.0647481128884684,0.030135971160506703,0.6313006190787527,0.7025706901572311,0.5966507714447675,0.5966507714447675
PANEL_2X4,TRANSLATOR_ECLIPSE_CHARCOAL,False,10000.0,0.5039940674387486,0.043071094426642004,1.149164209824913,0.369175608095091,0.596487330049913,0.775128928014904,0.688064081779561,0.596487330049913
PANEL_4X4,SLEEP_POD_LAMB_WOOL,False,10000.0,0.4880189551469698,0.03405775424751648,0.9243528577354266,0.20620949211970718,0.7288735218351488,0.5964240478068857,0.7646144811888367,0.5964240478068857
