day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;VELVETFRUIT_EXTRACT;5293;64;;;;;5298;22;5299;42;;;5295.5;0.0
1;0;VEV_4000;1285;9;1282;30;;;1307;9;1309;30;;;1296.0;0.0
1;0;VEV_5100;199;21;;;;;204;7;205;14;;;201.5;0.0
1;0;VEV_5200;118;7;117;14;;;121;21;;;;;119.5;0.0
1;0;VEV_5000;293;21;;;;;300;7;301;14;;;296.5;0.0
1;0;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;0;VEV_5500;6;21;;;;;8;21;;;;;7.0;0.0
1;0;HYDROGEL_PACK;10000;10;9998;25;;;10016;10;10019;25;;;10008.0;0.0
1;0;VEV_4500;787;7;785;14;;;804;7;806;14;;;795.5;0.0
1;0;VEV_6500;0;11;;;;;1;11;;;;;0.5;0.0
1;0;VEV_5300;57;21;;;;;59;7;60;14;;;58.0;0.0
1;0;VEV_5400;20;21;;;;;21;21;;;;;20.5;0.0
1;100;VELVETFRUIT_EXTRACT;5294;16;5293;37;;;5299;53;;;;;5296.5;0.0
1;100;HYDROGEL_PACK;10000;11;9997;28;;;10016;11;10018;28;;;10008.0;-315.75
1;100;VEV_4000;1296;4;1285;8;1283;20;1307;8;1310;20;;;1301.5;0.0
1;100;VEV_5100;202;4;200;7;199;20;205;27;;;;;203.5;0.0
1;100;VEV_5200;119;4;118;27;;;121;7;122;20;;;120.0;-49.6669921875
1;100;VEV_5000;297;4;294;7;293;20;301;7;302;20;;;299.0;0.0
1;100;VEV_6000;0;22;;;;;1;18;;;;;0.5;0.0
1;100;VEV_5500;7;4;6;18;;;8;18;;;;;7.5;0.0
1;100;VEV_4500;796;4;788;7;786;20;805;7;807;20;;;800.5;0.0
1;100;VEV_6500;0;18;;;;;1;14;;;;;0.5;0.0
1;100;VEV_5300;58;4;57;18;;;60;18;;;;;59.0;-31.7161865234375
1;100;VEV_5400;20;22;;;;;21;18;;;;;20.5;0.0
1;200;VEV_4000;1286;14;1283;25;;;1307;14;1310;25;;;1296.5;-2.19775390625
1;200;VEV_5100;200;6;199;14;;;205;6;206;14;;;202.5;-19.472412109375
1;200;VEV_5200;118;20;;;;;122;20;;;;;120.0;-113.5390625
1;200;VEV_5000;294;20;;;;;301;6;302;14;;;297.5;-3.048095703125
1;200;VEV_6000;0;21;;;;;1;21;;;;;0.5;0.0
1;200;VEV_5500;7;7;6;14;;;8;21;;;;;7.5;-0.3468360900878906
